Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
medicalAdvancedFirstAidBandage,items,Medical,,,Advanced First Aid Bandage,,,,,,,,,,,,,,
medicalAdvancedFirstAidBandageSchematic,items,Medical,,,Advanced First Aid Bandage Schematic,,,,,,,,,,,,,,
medicalAdvancedFirstAidBandageDesc,items,Medical,,,"An advanced version of the first-aid bandage.\nCleaned and sterilized with Isopropyl Alcohol.",,,,,,,,,,,,,,
medicalAdvancedFirstAidKit,items,mediacal,,,Advanced First Aid Kit,,,,,,,,,,,,,,
medicalAdvancedFirstAidKitSchematic,items,Medical,,,Advanced First Aid Kit Schematic,,,,,,,,,,,,,,
medicalAdvancedFirstAidKitDesc,items,Medical,,,"An advanced version of the first-aid kit.\nContains everything you may need to Set fractures,\n aid concussions, cure diseases and releive fatigue.",,,,,,,,,,,,,,
statInstantHealth,ui_display,Item stat,,,Instant Health,,,,,,,,,,,,,,
statHealAbrasionMult,ui_display,Item stat,,,Abrasion Healing Speed,,,,,,,,,,,,,,
statStopsBleeding,ui_display,Item stat,,,Stop Bleeding,,,,,,,,,,,,,,
statStopsLaceration,ui_display,Item stat,,,Suture Laceration,,,,,,,,,,,,,,
statClosedFracture,ui_display,Item stat,,,Cure Fractures,,,,,,,,,,,,,,
statfatigue,ui_display,Item stat,,,Cure Fatigue and Concussion,,,,,,,,,,,,,,
perkPhysicianRank2LongDesc,progression,Perk,,New,"Medical healing items heal 40% more health over time. Gain 60% more XP using bandages, first aid bandages, first aid kits and splints. Craft advanced first aid bandages, items craft 20% faster at the chemistry stations.",,,,,,,,,,,,,,
perkPhysicianRank3LongDesc,progression,Perk,,New,"Medical healing items heal 55% more health over time. Gain 80% more XP using bandages, first aid bandages, first aid kits and splints. Can craft first aid kits, advanced first aid kits, and steroids.",,,,,,,,,,,,,,
perkPhysicianRank4LongDesc,progression,perk Int,,,"You've learned the Advanced First-aid Kit.\nHealing items now imbue 75% more health over time.\n100% more XP when using any bandage, first-aid kit or splint.\nCraft Fortbites, Recog and Antibiotics.\nCraft items 40% faster at Chemistry Stations.",,,,,,,,,,,,,,
resourceSewingNeedle,items,resource,,,"Sewing Needle",,,,,,,,,,,,,,
resourceSewingNeedleDesc,items,resource,,,"Sewing needle used for making sewing kits.",,,,,,,,,,,,,,
